"Base License Number","Base Name","DBA","Year","Month","Month Name","Total Dispatched Trips","Total Dispatched Shared Trips","Unique Dispatched Vehicles"
"B03110","BETTER CAR & LIMOUSINE SERVICE INC","BELTWAY CAR SERVICE","2018","7","July","1,230","0","9"
"B01280","BENSONHURST RIDE INC.",,"2019","7","July","3,091","0","17"
"B02410","POLO LIMOUSINE, CORP.",,"2017","2","February","1,358","0","58"
"B02795","LIMO SEVEN TRANSPORTATION INC",,"2021","11","November","3,337","0","18"
"B02833","ADVANCED LUXURY LIMO SVC. INC.",,"2020","4","April","118","0","3"
"B01386","FENIX PREMIUM CORP.",,"2020","1","January","1,586","0","6"
"B02980","ADVANTAGE LIMO OF NY INC",,"2017","4","April","164","0","3"
"B01362","AMERICAN BASE NO.1 INC.",,"2016","2","February","24,306","0","192"
"B02819","FIVE STAR LUXURY INC.",,"2020","12","December","94","0","14"
"B03343","GRACEFUL TRANSPORTATION, INC",,"2024","11","November","855","0","15"
"B03653","NY TULUM EXPRESS INC.",,"2025","10","October","109","0","4"
"B02563","FENIX XL CAR AND LIMO SERVICE CORP.",,"2024","2","February","7,694","0","44"
"B02245","OCEANA CAR AND LIMO",,"2020","4","April","939","0","5"
"B02848","V R WORLDWIDE INC",,"2017","3","March","55","0","5"
"B02841","SKYWAY EXECUTIVE SERVICE, INC",,"2019","7","July","337","0","6"
"B02016","PLANET LIMOUSINE LLC",,"2017","4","April","2,552","0","53"
"B02573","SUNSET PARK CAR SERVICE INC",,"2016","11","November","3,808","0","17"
"B02898","SANO CAR LLC",,"2019","6","June","2,303","0","10"
"B02550","AGAPE LUXURY CORP.",,"2025","10","October","107,536","0","1,270"
"B02004","METROPOLITAN MULTIPLEX CAR SERVICE CORP.",,"2019","2","February","867","0","5"
"B01081","GEORGE TOWN MANAGEMENT INC",,"2019","3","March","893","0","8"
"B01452","AREAS TRANSP INC",,"2024","11","November","1,349","0","8"
"B01738","SAETA CAR SERVICE INC.",,"2017","4","April","2,292","0","13"
"B01124","COOPERATIVA CLBNA DE CON INC",,"2019","9","September","3,064","0","31"
"B01958","ST.ALBANS-HOLLIS CAR SERVICE INC.",,"2019","4","April","2,896","0","17"
"B01485","FLAMINGO TRANSP. & LIMO. SERVICES INC.",,"2019","5","May","10,166","0","42"
"B02293","XPRESS TRANSPORT & MULTI SERVICE INC.",,"2017","9","September","2,112","0","10"
"B00248","YELLOWSTONE TRANSPORTATION INC.","YES CAR SERVICE","2017","1","January","21,694","0","108"
"B02799","CHURCH AVENUE EXPRESS INC",,"2024","6","June","22,915","0","128"
